ds,yhat,yhat_lower,yhat_upper
2024-02-27,84230533182.08203,83071458513.52684,85251753819.22797
2024-02-28,84267029363.73677,83067593707.1823,85372727982.3616
2024-02-29,84320004669.2975,83092664594.42535,85446101616.03238
2024-03-01,84367486923.84073,83100987592.89412,85506903669.79118
2024-03-04,84432118783.29965,83064269274.24965,85627987058.68806
2024-03-05,84471297915.3283,83058560200.63559,85707224791.03004
2024-03-06,84500086033.54613,83043526146.51584,85815460214.09166
2024-03-07,84547043270.56433,83015806007.31458,85912620828.75188
2024-03-08,84590186552.18692,83065900640.28094,85944010360.6634
2024-03-11,84651632375.63591,82972552442.39973,86074459491.96193
2024-03-12,84692903255.6002,82971240482.47559,86122375837.24036
2024-03-13,84725081177.82709,82978068673.89589,86340811448.3215
2024-03-14,84776621083.82576,82910204689.2773,86364027201.63586
2024-03-15,84825259675.20305,82962458977.0532,86442817389.33348
2024-03-18,84906034829.66797,83042211116.63995,86656772674.84413
2024-03-19,84953917943.69016,82992233623.69325,86725864383.10722
2024-03-20,84992272962.52963,83077943078.94955,86795243888.47348
2024-03-21,85049364818.46085,83003869415.13344,86923453971.89223
2024-03-22,85102608298.2169,82920014743.19698,87092695420.70937
2024-03-25,85189127832.75069,83012937812.14734,87200668174.26378
2024-03-26,85235754179.99068,82979197936.10643,87299535339.3349
2024-03-27,85270996360.59698,82971108658.84828,87444184581.39229
2024-03-28,85323132588.51434,82861323995.86093,87532065895.44908
2024-03-29,85369488694.09154,82925060087.73007,87714462673.39668
2024-04-01,85424027970.0895,82878592563.83942,87717913448.80711
2024-04-02,85456694735.64442,82905635386.85213,87834300290.39894
2024-04-03,85476546229.56313,82766005966.82068,87835871281.8734
2024-04-04,85512160651.10631,82801785577.61319,88036219971.30345
2024-04-05,85541048296.56923,82680369709.41612,88069915532.77393
2024-04-08,85540189135.12976,82551003062.87953,88082750891.87477
2024-04-09,85554528492.40044,82467428916.39056,88218380994.10986
2024-04-10,85556587020.30707,82466008056.94038,88169648694.7213
2024-04-11,85575333244.647,82493686017.2145,88263864010.22101
2024-04-12,85588511256.21695,82375102502.35577,88388728996.64958
2024-04-15,85550031027.9179,82181247058.7642,88448811783.79665
2024-04-16,85555889849.55287,82218540410.91167,88427983818.85413
2024-04-17,85551745360.09613,82197922314.51808,88567251779.4704
2024-04-18,85566775374.74672,82026259780.97095,88619914260.66943
2024-04-19,85578748378.49635,81909053587.37465,88659993021.74004
2024-04-22,85551855219.43631,81854698177.96474,88730772191.54175
2024-04-23,85566653630.34326,81814506076.3136,88823832349.54933
2024-04-24,85573776549.18555,81806929802.94711,88820488096.29126
2024-04-25,85602336459.9386,81717628816.8307,89006207271.64003
2024-04-26,85629859173.97682,81633003227.03503,89044113560.74257
2024-04-29,85659410304.04056,81564466747.63705,89039059254.0352
2024-04-30,85695578418.48943,81531913065.80557,89135542928.49078
2024-05-01,85724839474.91399,81512973876.37056,89251844135.72433
2024-05-02,85776104255.49431,81509581125.19896,89288349891.26411
2024-05-03,85826550397.6006,81570448969.323,89445855779.14963
